datetime,open,high,low,close,tick_volume,spread,real_volume,volume
2024-01-01 23:00:00,2063.13,2066.47,2062.28,2065.8,852,10,0,852
2024-01-01 23:15:00,2065.8,2066.24,2065.07,2065.08,582,6,0,582
2024-01-01 23:30:00,2065.08,2065.45,2064.19,2064.51,612,5,0,612
2024-01-01 23:45:00,2064.49,2064.5,2063.17,2063.63,513,5,0,513
2024-01-02 00:00:00,2063.61,2064.96,2063.41,2064.08,615,0,0,615
2024-01-02 00:15:00,2064.08,2064.38,2062.28,2063.38,859,4,0,859
2024-01-02 00:30:00,2063.38,2064.74,2062.97,2064.69,587,0,0,587
2024-01-02 00:45:00,2064.65,2065.89,2064.44,2065.5,800,1,0,800
2024-01-02 01:00:00,2065.48,2069.68,2064.85,2069.26,2114,0,0,2114
2024-01-02 01:15:00,2069.26,2069.89,2067.31,2068.49,1557,1,0,1557
2024-01-02 01:30:00,2068.55,2068.59,2066.94,2068.18,1891,7,0,1891
2024-01-02 01:45:00,2068.25,2069.12,2066.37,2066.54,1199,6,0,1199
2024-01-02 02:00:00,2066.5,2066.78,2063.97,2064.72,1144,7,0,1144
2024-01-02 02:15:00,2064.7,2067.14,2064.67,2066.78,788,0,0,788
2024-01-02 02:30:00,2066.78,2068.43,2065.85,2067.46,1211,1,0,1211
2024-01-02 02:45:00,2067.44,2068.38,2067.38,2067.89,881,0,0,881
2024-01-02 03:00:00,2067.89,2069.53,2066.45,2069.13,990,1,0,990
2024-01-02 03:15:00,2069.13,2070.0,2069.13,2069.71,791,2,0,791
2024-01-02 03:30:00,2069.71,2070.03,2069.41,2069.82,749,6,0,749
2024-01-02 03:45:00,2069.82,2070.4,2068.62,2069.62,781,5,0,781
2024-01-02 04:00:00,2069.62,2070.42,2069.24,2070.34,672,12,0,672
2024-01-02 04:15:00,2070.34,2070.69,2068.9,2069.44,659,11,0,659
2024-01-02 04:30:00,2069.43,2070.35,2069.42,2069.92,596,11,0,596
2024-01-02 04:45:00,2069.92,2070.2,2068.92,2069.61,817,6,0,817
2024-01-02 05:00:00,2069.61,2071.73,2069.47,2071.64,1385,8,0,1385
2024-01-02 05:15:00,2071.64,2071.91,2070.81,2071.44,864,8,0,864
2024-01-02 05:30:00,2071.44,2072.26,2070.79,2072.21,953,4,0,953
2024-01-02 05:45:00,2072.21,2074.95,2072.01,2074.52,1032,0,0,1032
2024-01-02 06:00:00,2074.52,2074.97,2072.91,2074.75,1059,2,0,1059
2024-01-02 06:15:00,2074.75,2076.79,2074.24,2075.86,967,0,0,967
2024-01-02 06:30:00,2075.86,2076.58,2074.77,2075.12,1178,0,0,1178
2024-01-02 06:45:00,2075.12,2075.22,2073.81,2074.16,886,8,0,886
2024-01-02 07:00:00,2074.16,2075.78,2073.37,2075.37,1311,6,0,1311
2024-01-02 07:15:00,2075.37,2076.38,2074.46,2075.31,1738,0,0,1738
2024-01-02 07:30:00,2075.31,2075.79,2074.67,2075.22,1295,0,0,1295
2024-01-02 07:45:00,2075.22,2075.5,2073.14,2073.15,2046,0,0,2046
2024-01-02 08:00:00,2073.14,2074.58,2072.28,2074.08,2386,0,0,2386
2024-01-02 08:15:00,2074.08,2074.26,2072.31,2072.69,1463,0,0,1463
2024-01-02 08:30:00,2072.69,2074.42,2071.84,2073.87,1861,0,0,1861
2024-01-02 08:45:00,2073.92,2073.99,2072.44,2073.33,1601,0,0,1601
2024-01-02 09:00:00,2073.33,2075.63,2073.32,2074.6,1385,0,0,1385
2024-01-02 09:15:00,2074.6,2075.66,2074.02,2074.7,1457,0,0,1457
2024-01-02 09:30:00,2074.66,2078.98,2074.61,2078.39,1699,0,0,1699
2024-01-02 09:45:00,2078.39,2078.91,2076.81,2077.06,1430,0,0,1430
2024-01-02 10:00:00,2077.06,2077.77,2074.58,2074.99,1209,0,0,1209
2024-01-02 10:15:00,2074.99,2075.36,2073.52,2074.68,1345,0,0,1345
2024-01-02 10:30:00,2074.68,2076.15,2074.4,2075.67,1342,0,0,1342
2024-01-02 10:45:00,2075.67,2076.58,2075.47,2076.04,1415,0,0,1415
2024-01-02 11:00:00,2076.04,2076.23,2073.92,2074.01,1427,0,0,1427
2024-01-02 11:15:00,2074.01,2075.9,2072.87,2075.04,1899,0,0,1899
2024-01-02 11:30:00,2075.04,2075.05,2068.48,2068.86,2314,0,0,2314
2024-01-02 11:45:00,2068.88,2070.39,2068.35,2069.25,1830,0,0,1830
2024-01-02 12:00:00,2069.26,2069.48,2066.4,2066.81,1933,0,0,1933
2024-01-02 12:15:00,2066.81,2067.11,2065.11,2066.01,2095,0,0,2095
2024-01-02 12:30:00,2066.03,2068.39,2065.61,2067.23,1728,0,0,1728
2024-01-02 12:45:00,2067.23,2068.14,2066.73,2067.95,1486,0,0,1486
2024-01-02 13:00:00,2067.95,2068.79,2064.88,2065.63,2753,0,0,2753
2024-01-02 13:15:00,2065.66,2068.68,2065.44,2067.08,2975,0,0,2975
2024-01-02 13:30:00,2067.12,2071.11,2066.97,2069.79,3407,0,0,3407
2024-01-02 13:45:00,2069.79,2069.84,2064.94,2066.23,3129,0,0,3129
2024-01-02 14:00:00,2066.23,2067.3,2064.88,2065.33,3273,0,0,3273
2024-01-02 14:15:00,2065.33,2067.92,2064.65,2065.96,2718,0,0,2718
2024-01-02 14:30:00,2065.96,2070.08,2062.19,2065.8,5422,0,0,5422
2024-01-02 14:45:00,2065.79,2070.48,2065.79,2070.4,6174,0,0,6174
2024-01-02 15:00:00,2070.4,2070.73,2066.55,2067.29,4246,0,0,4246
2024-01-02 15:15:00,2067.29,2067.84,2064.02,2064.89,3014,0,0,3014
2024-01-02 15:30:00,2064.89,2065.28,2055.97,2058.88,5130,0,0,5130
2024-01-02 15:45:00,2058.87,2059.8,2057.33,2059.37,4100,0,0,4100
2024-01-02 16:00:00,2059.36,2067.63,2059.17,2066.39,4494,0,0,4494
2024-01-02 16:15:00,2066.39,2066.99,2064.72,2065.49,2848,0,0,2848
2024-01-02 16:30:00,2065.46,2065.67,2064.16,2065.04,2250,0,0,2250
2024-01-02 16:45:00,2065.07,2066.95,2065.03,2066.11,1909,0,0,1909
2024-01-02 17:00:00,2066.09,2067.0,2064.7,2064.81,1449,0,0,1449
2024-01-02 17:15:00,2064.81,2065.01,2062.8,2064.06,1729,0,0,1729
2024-01-02 17:30:00,2064.06,2065.21,2063.74,2064.68,1464,0,0,1464
2024-01-02 17:45:00,2064.68,2064.69,2061.84,2062.69,1804,0,0,1804
2024-01-02 18:00:00,2062.69,2063.34,2061.48,2062.71,1230,0,0,1230
2024-01-02 18:15:00,2062.71,2064.97,2062.56,2064.54,1223,0,0,1223
2024-01-02 18:30:00,2064.54,2064.54,2061.49,2061.64,1101,0,0,1101
2024-01-02 18:45:00,2061.64,2062.49,2060.62,2061.19,1163,0,0,1163
2024-01-02 19:00:00,2061.19,2062.24,2060.88,2061.72,949,0,0,949
2024-01-02 19:15:00,2061.72,2061.95,2060.46,2061.66,999,1,0,999
2024-01-02 19:30:00,2061.66,2062.12,2061.16,2061.78,872,1,0,872
2024-01-02 19:45:00,2061.82,2061.88,2060.5,2060.93,1148,0,0,1148
