datetime,open,high,low,close,tick_volume,spread,real_volume,volume
2024-12-31 23:00:00,8170.22,8205.71,8133.69,8133.89,898,144,0,898
2024-12-31 23:15:00,8134.78,8193.42,8125.13,8168.11,896,143,0,896
2024-12-31 23:30:00,8169.99,8177.6,8150.14,8153.45,897,144,0,897
2024-12-31 23:45:00,8153.93,8154.84,8073.05,8079.88,895,142,0,895
2025-01-01 00:00:00,8080.9,8110.38,8077.58,8093.87,897,143,0,897
2025-01-01 00:15:00,8094.87,8174.32,8085.92,8173.17,900,143,0,900
2025-01-01 00:30:00,8174.66,8200.85,8160.55,8179.7,898,144,0,898
2025-01-01 00:45:00,8180.13,8207.09,8172.1,8192.79,899,144,0,899
2025-01-01 01:00:00,8193.19,8304.1,8185.1,8301.72,899,144,0,899
2025-01-01 01:15:00,8300.85,8335.41,8293.11,8300.81,897,146,0,897
2025-01-01 01:30:00,8302.2,8335.9,8291.5,8321.65,895,146,0,895
2025-01-01 01:45:00,8322.87,8371.22,8314.75,8362.52,897,147,0,897
2025-01-01 02:00:00,8362.23,8412.64,8357.83,8406.78,896,147,0,896
2025-01-01 02:15:00,8406.88,8419.76,8386.83,8405.69,899,148,0,899
2025-01-01 02:30:00,8405.27,8419.73,8369.47,8393.24,898,148,0,898
2025-01-01 02:45:00,8394.23,8465.06,8386.48,8450.69,897,148,0,897
2025-01-01 03:00:00,8449.63,8482.92,8438.08,8449.01,896,149,0,896
2025-01-01 03:15:00,8450.63,8499.87,8442.14,8452.52,893,149,0,893
2025-01-01 03:30:00,8451.71,8550.86,8450.89,8546.82,900,149,0,900
2025-01-01 03:45:00,8547.76,8557.77,8519.17,8526.7,897,150,0,897
2025-01-01 04:00:00,8526.33,8534.13,8458.48,8481.99,897,149,0,897
2025-01-01 04:15:00,8482.26,8518.06,8473.39,8496.25,898,150,0,898
2025-01-01 04:30:00,8496.45,8548.79,8493.33,8532.36,898,150,0,898
2025-01-01 04:45:00,8531.57,8533.09,8400.55,8410.92,899,148,0,899
2025-01-01 05:00:00,8410.55,8431.44,8385.56,8425.33,898,148,0,898
2025-01-01 05:15:00,8425.64,8473.5,8417.74,8471.05,898,149,0,898
2025-01-01 05:30:00,8472.53,8484.5,8387.13,8388.75,896,148,0,896
2025-01-01 05:45:00,8386.9,8401.33,8365.64,8382.44,896,148,0,896
2025-01-01 06:00:00,8382.8,8424.3,8351.3,8357.82,900,147,0,900
2025-01-01 06:15:00,8359.48,8386.02,8337.52,8339.11,895,147,0,895
2025-01-01 06:30:00,8337.99,8408.3,8336.67,8390.65,897,147,0,897
2025-01-01 06:45:00,8389.08,8500.91,8388.56,8497.39,894,148,0,894
2025-01-01 07:00:00,8498.38,8512.2,8474.63,8476.14,896,150,0,896
2025-01-01 07:15:00,8475.53,8477.06,8351.36,8387.38,898,147,0,898
2025-01-01 07:30:00,8386.94,8524.69,8376.92,8508.17,897,148,0,897
2025-01-01 07:45:00,8508.44,8563.66,8482.44,8559.02,898,150,0,898
2025-01-01 08:00:00,8558.53,8618.33,8536.92,8601.56,895,151,0,895
2025-01-01 08:15:00,8602.34,8629.31,8596.14,8624.17,895,152,0,895
2025-01-01 08:30:00,8622.92,8624.38,8576.52,8590.09,899,151,0,899
2025-01-01 08:45:00,8589.01,8628.4,8584.12,8592.29,898,152,0,898
2025-01-01 09:00:00,8592.71,8607.87,8538.38,8542.84,895,151,0,895
2025-01-01 09:15:00,8541.4,8548.07,8461.89,8526.32,900,149,0,900
2025-01-01 09:30:00,8526.76,8622.21,8524.52,8595.93,892,151,0,892
2025-01-01 09:45:00,8596.09,8614.86,8584.38,8595.64,897,152,0,897
2025-01-01 10:00:00,8595.89,8692.81,8595.89,8674.07,897,152,0,897
2025-01-01 10:15:00,8673.84,8678.95,8615.36,8633.8,896,152,0,896
2025-01-01 10:30:00,8634.83,8663.09,8567.52,8589.86,899,151,0,899
2025-01-01 10:45:00,8589.25,8626.91,8584.88,8618.75,894,152,0,894
2025-01-01 11:00:00,8618.12,8634.65,8554.84,8567.82,893,151,0,893
2025-01-01 11:15:00,8568.02,8599.99,8528.61,8594.09,897,151,0,897
2025-01-01 11:30:00,8593.15,8710.6,8593.15,8692.84,896,152,0,896
2025-01-01 11:45:00,8693.43,8745.37,8665.98,8727.32,897,153,0,897
2025-01-01 12:00:00,8728.76,8782.34,8711.49,8779.4,896,154,0,896
2025-01-01 12:15:00,8780.6,8820.53,8775.67,8790.71,898,155,0,898
2025-01-01 12:30:00,8788.45,8822.89,8764.46,8767.66,898,155,0,898
2025-01-01 12:45:00,8768.97,8800.12,8734.35,8797.87,897,154,0,897
2025-01-01 13:00:00,8797.54,8797.54,8746.29,8770.84,897,154,0,897
2025-01-01 13:15:00,8774.9,8805.06,8698.06,8762.02,898,154,0,898
2025-01-01 13:30:00,8762.7,8795.89,8757.48,8773.83,896,155,0,896
2025-01-01 13:45:00,8774.45,8807.28,8752.45,8804.29,898,155,0,898
2025-01-01 14:00:00,8803.89,8859.99,8750.47,8838.63,896,154,0,896
2025-01-01 14:15:00,8838.06,8875.82,8825.02,8856.39,896,156,0,896
2025-01-01 14:30:00,8856.75,8880.14,8792.02,8792.02,897,155,0,897
2025-01-01 14:45:00,8792.15,8899.46,8757.47,8899.46,894,155,0,894
2025-01-01 15:00:00,8897.7,8926.78,8876.1,8917.83,895,157,0,895
2025-01-01 15:15:00,8916.9,8939.58,8894.55,8905.02,897,157,0,897
2025-01-01 15:30:00,8906.7,8965.56,8876.11,8964.44,897,157,0,897
2025-01-01 15:45:00,8964.95,8970.65,8929.34,8929.83,891,158,0,891
2025-01-01 16:00:00,8931.88,9029.04,8928.26,8981.79,896,158,0,896
2025-01-01 16:15:00,8982.63,8999.7,8924.86,8939.94,897,158,0,897
2025-01-01 16:30:00,8939.26,8948.53,8899.95,8903.38,895,157,0,895
2025-01-01 16:45:00,8904.56,8905.5,8784.13,8787.57,895,155,0,895
2025-01-01 17:00:00,8786.99,8820.83,8775.94,8787.13,898,155,0,898
2025-01-01 17:15:00,8785.71,8928.57,8783.8,8927.88,896,155,0,896
2025-01-01 17:30:00,8928.18,8939.56,8896.35,8927.53,895,157,0,895
2025-01-01 17:45:00,8927.81,8974.67,8911.31,8956.72,899,157,0,899
2025-01-01 18:00:00,8955.65,8985.74,8910.35,8947.9,894,157,0,894
2025-01-01 18:15:00,8947.65,8986.12,8892.75,8986.12,899,157,0,899
2025-01-01 18:30:00,8986.27,9025.22,8985.37,8998.55,899,159,0,899
2025-01-01 18:45:00,9000.29,9006.83,8975.02,8982.86,898,158,0,898
2025-01-01 19:00:00,8982.91,9005.34,8950.28,8987.11,897,158,0,897
2025-01-01 19:15:00,8987.09,9010.41,8968.11,9005.67,896,158,0,896
2025-01-01 19:30:00,9004.65,9007.08,8942.47,8961.72,898,158,0,898
2025-01-01 19:45:00,8962.68,8966.21,8907.63,8919.48,896,157,0,896
2025-01-01 20:00:00,8920.58,8927.52,8885.61,8888.15,900,157,0,900
2025-01-01 20:15:00,8888.42,8895.97,8849.15,8874.21,899,156,0,899
2025-01-01 20:30:00,8875.33,8895.76,8860.85,8890.04,895,156,0,895
2025-01-01 20:45:00,8888.46,8955.84,8864.21,8945.24,897,156,0,897
2025-01-01 21:00:00,8943.91,8969.92,8935.9,8954.77,899,158,0,899
2025-01-01 21:15:00,8954.61,8978.09,8943.51,8956.78,898,158,0,898
2025-01-01 21:30:00,8956.28,8990.29,8953.48,8975.8,899,158,0,899
2025-01-01 21:45:00,8976.17,8995.41,8963.07,8963.33,898,158,0,898
2025-01-01 22:00:00,8963.41,9008.4,8948.11,8955.35,898,158,0,898
2025-01-01 22:15:00,8956.26,8962.09,8881.47,8893.39,897,157,0,897
2025-01-01 22:30:00,8893.24,8912.39,8829.42,8832.59,897,156,0,897
2025-01-01 22:45:00,8834.23,8834.23,8783.14,8801.72,899,155,0,899
2025-01-01 23:00:00,8801.57,8825.78,8759.95,8813.76,898,155,0,898
2025-01-01 23:15:00,8815.13,8816.17,8751.46,8762.47,896,155,0,896
2025-01-01 23:30:00,8764.07,8815.66,8753.55,8799.49,897,154,0,897
2025-01-01 23:45:00,8799.23,8838.82,8692.73,8716.45,897,153,0,897
2025-01-02 00:00:00,8718.3,8727.68,8655.96,8658.02,898,153,0,898
2025-01-02 00:15:00,8659.36,8671.38,8558.27,8562.76,897,151,0,897
2025-01-02 00:30:00,8562.83,8609.4,8558.04,8606.95,892,151,0,892
2025-01-02 00:45:00,8605.66,8634.2,8597.98,8627.76,898,152,0,898
2025-01-02 01:00:00,8629.76,8650.71,8593.63,8627.96,892,152,0,892
2025-01-02 01:15:00,8626.08,8627.62,8564.29,8568.49,898,151,0,898
2025-01-02 01:30:00,8568.22,8581.49,8526.84,8536.8,897,150,0,897
2025-01-02 01:45:00,8537.07,8588.19,8525.76,8577.43,899,150,0,899
2025-01-02 02:00:00,8576.94,8601.59,8564.6,8588.79,896,151,0,896
2025-01-02 02:15:00,8589.43,8590.75,8471.31,8475.2,899,149,0,899
2025-01-02 02:30:00,8473.12,8549.62,8467.3,8545.36,898,149,0,898
2025-01-02 02:45:00,8546.56,8587.85,8543.47,8566.14,898,151,0,898
2025-01-02 03:00:00,8567.7,8583.75,8543.1,8577.6,898,151,0,898
2025-01-02 03:15:00,8578.14,8602.75,8568.54,8583.71,899,151,0,899
2025-01-02 03:30:00,8583.41,8629.41,8556.59,8586.23,894,151,0,894
2025-01-02 03:45:00,8585.93,8659.25,8577.62,8649.87,899,151,0,899
2025-01-02 04:00:00,8646.92,8669.65,8602.63,8626.1,898,152,0,898
2025-01-02 04:15:00,8625.14,8700.84,8623.79,8684.38,897,152,0,897
2025-01-02 04:30:00,8683.16,8729.53,8682.13,8701.79,898,153,0,898
2025-01-02 04:45:00,8700.1,8764.76,8690.24,8743.5,893,153,0,893
2025-01-02 05:00:00,8742.52,8776.18,8733.7,8749.57,891,154,0,891
2025-01-02 05:15:00,8748.48,8788.95,8742.47,8757.07,897,154,0,897
2025-01-02 05:30:00,8756.48,8756.48,8670.59,8674.74,897,153,0,897
2025-01-02 05:45:00,8675.28,8692.44,8587.14,8630.86,897,152,0,897
2025-01-02 06:00:00,8631.7,8759.35,8613.21,8726.82,899,152,0,899
2025-01-02 06:15:00,8727.38,8745.92,8666.74,8671.25,899,153,0,899
2025-01-02 06:30:00,8670.22,8760.64,8662.15,8750.37,894,153,0,894
2025-01-02 06:45:00,8749.66,8776.61,8683.52,8726.35,899,153,0,899
2025-01-02 07:00:00,8727.2,8769.91,8699.16,8717.98,894,154,0,894
2025-01-02 07:15:00,8717.13,8783.18,8709.07,8783.02,898,154,0,898
2025-01-02 07:30:00,8784.43,8871.94,8783.9,8792.82,898,155,0,898
2025-01-02 07:45:00,8792.64,8809.67,8750.97,8761.21,898,154,0,898
2025-01-02 08:00:00,8762.49,8851.58,8750.11,8847.63,896,154,0,896
2025-01-02 08:15:00,8848.55,8867.87,8817.3,8820.34,898,156,0,898
2025-01-02 08:30:00,8819.54,8883.36,8816.54,8879.77,897,156,0,897
2025-01-02 08:45:00,8879.43,8895.11,8795.14,8795.14,897,155,0,897
2025-01-02 09:00:00,8794.76,8794.76,8742.34,8769.84,897,154,0,897
2025-01-02 09:15:00,8769.73,8808.72,8742.51,8807.18,898,154,0,898
2025-01-02 09:30:00,8808.45,8824.39,8769.76,8780.35,896,155,0,896
2025-01-02 09:45:00,8782.6,8803.41,8768.6,8783.24,898,155,0,898
2025-01-02 10:00:00,8783.58,8821.61,8782.84,8786.91,894,155,0,894
2025-01-02 10:15:00,8787.07,8799.63,8764.11,8767.18,894,155,0,894
2025-01-02 10:30:00,8767.18,8841.13,8756.35,8827.66,897,155,0,897
2025-01-02 10:45:00,8827.55,8833.43,8789.72,8824.37,899,155,0,899
2025-01-02 11:00:00,8823.99,8849.22,8792.88,8834.75,887,155,0,887
2025-01-02 11:15:00,8833.15,8893.46,8778.05,8892.04,898,155,0,898
2025-01-02 11:30:00,8892.49,8894.27,8850.34,8864.28,898,156,0,898
2025-01-02 11:45:00,8862.83,8885.44,8833.59,8870.2,898,156,0,898
2025-01-02 12:00:00,8868.75,8889.38,8804.46,8813.84,899,155,0,899
2025-01-02 12:15:00,8811.6,8814.23,8748.43,8760.16,895,154,0,895
2025-01-02 12:30:00,8760.26,8768.0,8697.04,8712.7,895,154,0,895
2025-01-02 12:45:00,8712.65,8803.47,8707.0,8767.54,897,154,0,897
2025-01-02 13:00:00,8768.05,8806.49,8762.84,8781.35,898,155,0,898
2025-01-02 13:15:00,8780.96,8816.89,8771.26,8796.41,899,155,0,899
2025-01-02 13:30:00,8795.77,8811.24,8724.82,8728.3,897,154,0,897
2025-01-02 13:45:00,8728.32,8744.75,8702.33,8726.5,898,154,0,898
2025-01-02 14:00:00,8724.65,8824.65,8721.03,8808.49,895,154,0,895
2025-01-02 14:15:00,8808.88,8841.86,8791.51,8836.16,898,155,0,898
2025-01-02 14:30:00,8836.05,8871.93,8822.35,8839.0,896,156,0,896
2025-01-02 14:45:00,8840.09,8862.72,8806.78,8856.8,897,155,0,897
2025-01-02 15:00:00,8856.33,8865.76,8767.92,8782.46,895,155,0,895
2025-01-02 15:15:00,8781.89,8805.98,8755.31,8793.08,898,155,0,898
2025-01-02 15:30:00,8794.09,8796.4,8745.87,8774.54,897,154,0,897
2025-01-02 15:45:00,8774.8,8791.42,8748.97,8752.81,898,154,0,898
2025-01-02 16:00:00,8750.74,8793.57,8730.2,8732.81,895,154,0,895
2025-01-02 16:15:00,8732.72,8753.71,8714.2,8730.69,895,154,0,895
2025-01-02 16:30:00,8728.4,8728.62,8690.32,8695.31,896,153,0,896
2025-01-02 16:45:00,8695.85,8762.84,8668.5,8754.99,895,153,0,895
2025-01-02 17:00:00,8755.41,8830.74,8753.72,8796.96,895,155,0,895
2025-01-02 17:15:00,8796.33,8811.67,8788.02,8804.03,896,155,0,896
2025-01-02 17:30:00,8804.43,8840.62,8795.63,8815.08,899,155,0,899
2025-01-02 17:45:00,8814.74,8855.85,8794.84,8852.91,897,155,0,897
2025-01-02 18:00:00,8853.17,8854.68,8782.33,8782.33,896,155,0,896
2025-01-02 18:15:00,8781.64,8814.81,8768.4,8803.29,894,155,0,894
2025-01-02 18:30:00,8804.32,8824.79,8795.2,8804.67,895,155,0,895
2025-01-02 18:45:00,8804.79,8855.07,8797.21,8833.34,898,155,0,898
2025-01-02 19:00:00,8831.85,8882.61,8821.36,8875.09,898,156,0,898
2025-01-02 19:15:00,8874.81,8939.98,8874.81,8896.29,897,157,0,897
2025-01-02 19:30:00,8896.45,9038.7,8884.53,9028.61,897,157,0,897
2025-01-02 19:45:00,9027.41,9063.86,9018.11,9043.21,899,159,0,899
2025-01-02 20:00:00,9044.41,9046.8,8997.6,9033.43,896,159,0,896
2025-01-02 20:15:00,9033.37,9068.62,9031.26,9053.84,898,159,0,898
2025-01-02 20:30:00,9054.02,9140.67,9033.44,9140.67,895,159,0,895
2025-01-02 20:45:00,9143.08,9155.12,9039.58,9042.97,899,160,0,899
2025-01-02 21:00:00,9045.2,9077.41,9017.7,9025.26,897,159,0,897
2025-01-02 21:15:00,9024.62,9062.7,8988.55,9031.68,898,159,0,898
2025-01-02 21:30:00,9031.47,9048.66,8968.39,8980.27,897,158,0,897
2025-01-02 21:45:00,8980.15,8994.61,8952.04,8952.04,898,158,0,898
2025-01-02 22:00:00,8951.3,9001.31,8912.29,8998.97,896,157,0,896
2025-01-02 22:15:00,8998.39,9092.79,8979.1,9086.26,898,159,0,898
2025-01-02 22:30:00,9087.07,9155.65,9074.3,9151.3,899,160,0,899
2025-01-02 22:45:00,9153.34,9168.01,9107.61,9113.19,899,161,0,899
2025-01-02 23:00:00,9113.99,9142.11,9092.25,9134.96,895,161,0,895
2025-01-02 23:15:00,9135.37,9147.33,9019.41,9045.81,896,159,0,896
2025-01-02 23:30:00,9045.48,9164.4,9034.82,9049.72,894,160,0,894
2025-01-02 23:45:00,9050.84,9120.45,9050.84,9108.73,897,160,0,897
2025-01-03 00:00:00,9111.46,9113.06,9065.59,9079.86,898,160,0,898
2025-01-03 00:15:00,9078.96,9106.31,9065.19,9081.48,900,160,0,900
2025-01-03 00:30:00,9080.92,9161.32,9079.01,9148.41,897,160,0,897
2025-01-03 00:45:00,9147.28,9157.19,9101.79,9107.78,898,161,0,898
2025-01-03 01:00:00,9107.19,9136.49,9072.78,9110.5,896,160,0,896
2025-01-03 01:15:00,9107.71,9107.71,9034.12,9035.16,900,159,0,900
2025-01-03 01:30:00,9034.72,9080.0,9033.95,9055.43,895,160,0,895
2025-01-03 01:45:00,9054.76,9101.76,8994.27,9014.59,897,159,0,897
2025-01-03 02:00:00,9015.79,9063.26,9004.03,9046.5,893,159,0,893
2025-01-03 02:15:00,9045.64,9127.71,9045.64,9107.28,897,160,0,897
2025-01-03 02:30:00,9108.49,9118.86,9078.06,9107.58,893,160,0,893
2025-01-03 02:45:00,9107.0,9112.85,9032.8,9079.81,897,159,0,897
2025-01-03 03:00:00,9081.32,9109.79,9057.9,9098.76,898,160,0,898
2025-01-03 03:15:00,9099.22,9138.55,9019.18,9037.83,893,159,0,893
2025-01-03 03:30:00,9040.83,9090.84,9036.2,9060.31,899,160,0,899
2025-01-03 03:45:00,9059.32,9068.6,9019.25,9022.1,898,159,0,898
2025-01-03 04:00:00,9022.21,9084.0,8994.84,9015.59,898,159,0,898
2025-01-03 04:15:00,9014.31,9028.73,8989.22,8992.41,898,159,0,898
2025-01-03 04:30:00,8990.67,9046.65,8986.99,9002.98,895,159,0,895
2025-01-03 04:45:00,9002.79,9008.75,8969.64,8985.31,897,158,0,897
2025-01-03 05:00:00,8982.03,9008.41,8954.4,8957.62,896,158,0,896
2025-01-03 05:15:00,8957.08,9032.88,8924.13,8997.32,898,158,0,898
2025-01-03 05:30:00,8999.02,9026.17,8939.63,8941.8,899,158,0,899
2025-01-03 05:45:00,8940.99,9015.89,8924.21,9008.48,898,158,0,898
2025-01-03 06:00:00,9010.62,9062.79,9010.62,9062.12,896,159,0,896
2025-01-03 06:15:00,9061.25,9074.74,8999.66,9017.43,895,159,0,895
2025-01-03 06:30:00,9017.98,9034.42,8974.67,8980.19,893,158,0,893
2025-01-03 06:45:00,8982.63,9034.45,8957.08,9025.68,896,158,0,896
2025-01-03 07:00:00,9025.33,9058.27,9012.86,9039.11,899,159,0,899
2025-01-03 07:15:00,9039.52,9106.84,9025.59,9095.1,897,159,0,897
2025-01-03 07:30:00,9096.76,9101.84,9059.3,9076.0,896,160,0,896
2025-01-03 07:45:00,9074.94,9133.94,9074.15,9132.74,894,160,0,894
2025-01-03 08:00:00,9133.13,9141.76,9084.9,9088.4,900,160,0,900
2025-01-03 08:15:00,9091.04,9141.72,9079.06,9122.77,895,160,0,895
2025-01-03 08:30:00,9123.24,9162.44,9098.35,9112.4,897,161,0,897
2025-01-03 08:45:00,9113.64,9126.34,9079.11,9098.78,899,160,0,899
2025-01-03 09:00:00,9100.49,9104.32,9029.1,9050.08,896,159,0,896
2025-01-03 09:15:00,9050.76,9061.94,9028.7,9035.78,896,159,0,896
2025-01-03 09:30:00,9036.3,9132.35,9031.27,9128.3,895,159,0,895
2025-01-03 09:45:00,9128.04,9232.92,9118.18,9165.41,899,161,0,899
2025-01-03 10:00:00,9164.4,9181.53,9102.85,9148.53,897,161,0,897
2025-01-03 10:15:00,9149.32,9171.38,9110.08,9118.19,896,161,0,896
2025-01-03 10:30:00,9118.66,9178.31,9102.17,9121.23,899,161,0,899
2025-01-03 10:45:00,9121.7,9175.58,9104.77,9146.9,899,161,0,899
2025-01-03 11:00:00,9147.32,9159.39,9080.33,9099.59,894,160,0,894
2025-01-03 11:15:00,9098.85,9113.03,9081.24,9081.24,892,160,0,892
2025-01-03 11:30:00,9081.35,9095.51,9039.78,9052.5,898,160,0,898
2025-01-03 11:45:00,9053.38,9119.52,9045.14,9091.23,898,160,0,898
2025-01-03 12:00:00,9093.22,9202.06,9082.0,9184.97,896,160,0,896
2025-01-03 12:15:00,9186.07,9200.68,9158.68,9187.79,896,162,0,896
2025-01-03 12:30:00,9186.02,9243.64,9153.85,9239.15,900,162,0,900
2025-01-03 12:45:00,9240.18,9261.92,9193.33,9193.38,898,162,0,898
2025-01-03 13:00:00,9194.25,9212.4,9146.68,9152.62,896,161,0,896
2025-01-03 13:15:00,9152.36,9156.84,9115.73,9137.39,898,161,0,898
2025-01-03 13:30:00,9138.96,9177.85,9129.36,9169.87,897,161,0,897
2025-01-03 13:45:00,9170.74,9248.91,9149.08,9228.37,894,162,0,894
2025-01-03 14:00:00,9227.77,9236.54,9195.02,9197.27,898,162,0,898
2025-01-03 14:15:00,9196.89,9205.03,9151.4,9177.56,897,162,0,897
2025-01-03 14:30:00,9177.99,9190.92,9147.58,9184.64,898,161,0,898
2025-01-03 14:45:00,9185.7,9200.17,9115.34,9121.77,896,161,0,896
2025-01-03 15:00:00,9122.54,9155.19,9103.65,9138.28,894,161,0,894
2025-01-03 15:15:00,9138.4,9188.52,9108.85,9173.41,900,161,0,900
2025-01-03 15:30:00,9172.66,9245.18,9172.66,9227.48,898,162,0,898
2025-01-03 15:45:00,9225.81,9234.77,9172.13,9206.98,896,162,0,896
2025-01-03 16:00:00,9208.82,9246.42,9203.32,9231.65,896,162,0,896
2025-01-03 16:15:00,9234.23,9234.23,9114.47,9114.47,897,161,0,897
2025-01-03 16:30:00,9111.75,9125.32,9050.92,9111.59,896,160,0,896
2025-01-03 16:45:00,9111.03,9171.77,9099.08,9144.87,899,161,0,899
2025-01-03 17:00:00,9146.35,9174.05,9089.55,9119.3,899,160,0,899
2025-01-03 17:15:00,9119.83,9164.05,9110.13,9163.32,900,161,0,900
2025-01-03 17:30:00,9162.35,9179.67,9110.49,9156.49,898,161,0,898
2025-01-03 17:45:00,9156.18,9197.15,9154.03,9183.57,898,162,0,898
2025-01-03 18:00:00,9182.03,9273.87,9169.77,9269.69,900,162,0,900
2025-01-03 18:15:00,9271.41,9336.82,9258.38,9311.42,899,164,0,899
2025-01-03 18:30:00,9311.94,9326.97,9252.99,9276.69,895,163,0,895
2025-01-03 18:45:00,9276.77,9350.86,9245.8,9287.64,899,163,0,899
2025-01-03 19:00:00,9288.38,9340.93,9250.97,9256.56,896,163,0,896
2025-01-03 19:15:00,9257.03,9328.28,9252.82,9305.76,896,163,0,896
2025-01-03 19:30:00,9306.22,9318.91,9246.06,9259.14,898,163,0,898
2025-01-03 19:45:00,9260.25,9306.84,9237.56,9294.75,899,163,0,899
2025-01-03 20:00:00,9292.12,9324.81,9245.15,9315.14,893,163,0,893
2025-01-03 20:15:00,9316.94,9318.19,9268.89,9293.66,897,164,0,897
2025-01-03 20:30:00,9293.13,9340.87,9263.7,9313.01,897,163,0,897
2025-01-03 20:45:00,9314.04,9338.33,9284.73,9321.77,897,164,0,897
2025-01-03 21:00:00,9323.89,9397.37,9299.9,9381.3,898,164,0,898
2025-01-03 21:15:00,9381.28,9393.72,9283.52,9284.97,899,164,0,899
2025-01-03 21:30:00,9286.19,9302.81,9244.8,9272.23,897,163,0,897
2025-01-03 21:45:00,9274.14,9286.0,9182.76,9219.85,897,162,0,897
2025-01-03 22:00:00,9218.68,9365.89,9209.15,9363.13,898,163,0,898
2025-01-03 22:15:00,9364.98,9413.21,9341.09,9391.47,900,165,0,900
2025-01-03 22:30:00,9393.77,9451.02,9393.77,9409.16,895,166,0,895
2025-01-03 22:45:00,9409.96,9415.78,9333.64,9333.64,896,165,0,896
2025-01-03 23:00:00,9331.72,9361.23,9302.8,9337.08,897,164,0,897
2025-01-03 23:15:00,9336.06,9341.25,9267.89,9291.78,898,164,0,898
2025-01-03 23:30:00,9290.25,9309.16,9264.92,9290.35,894,164,0,894
2025-01-03 23:45:00,9291.67,9310.53,9215.99,9217.19,900,163,0,900
2025-01-04 00:00:00,9216.43,9312.28,9213.69,9306.54,899,163,0,899
2025-01-04 00:15:00,9304.06,9315.78,9245.31,9275.33,899,163,0,899
2025-01-04 00:30:00,9275.18,9315.64,9238.97,9261.7,896,163,0,896
2025-01-04 00:45:00,9262.05,9263.82,9173.11,9203.82,900,162,0,900
2025-01-04 01:00:00,9203.27,9273.43,9187.31,9255.73,899,162,0,899
2025-01-04 01:15:00,9255.17,9262.78,9184.59,9184.59,898,162,0,898
2025-01-04 01:30:00,9184.36,9214.56,9162.55,9211.57,897,162,0,897
2025-01-04 01:45:00,9210.33,9217.95,9164.11,9184.21,900,162,0,900
2025-01-04 02:00:00,9183.55,9204.63,9169.46,9188.48,899,162,0,899
2025-01-04 02:15:00,9185.56,9216.94,9162.34,9168.24,896,162,0,896
2025-01-04 02:30:00,9167.44,9211.6,9052.32,9060.29,900,160,0,900
2025-01-04 02:45:00,9060.45,9125.56,9055.85,9118.34,898,160,0,898
2025-01-04 03:00:00,9118.93,9179.2,9116.16,9173.34,898,161,0,898
2025-01-04 03:15:00,9172.89,9190.73,9117.29,9118.07,897,161,0,897
2025-01-04 03:30:00,9118.84,9133.6,9082.55,9102.17,898,160,0,898
2025-01-04 03:45:00,9103.22,9137.79,9070.2,9079.84,898,160,0,898
2025-01-04 04:00:00,9081.36,9108.41,9072.22,9090.09,897,160,0,897
2025-01-04 04:15:00,9091.12,9143.37,9078.57,9116.6,898,160,0,898
2025-01-04 04:30:00,9118.15,9143.23,9078.43,9083.99,900,160,0,900
2025-01-04 04:45:00,9085.47,9122.72,9059.49,9059.49,897,160,0,897
2025-01-04 05:00:00,9059.72,9094.32,9057.16,9074.14,895,160,0,895
2025-01-04 05:15:00,9071.5,9092.89,8965.06,8967.92,899,158,0,899
2025-01-04 05:30:00,8966.65,9004.91,8945.65,8966.6,896,158,0,896
2025-01-04 05:45:00,8966.45,8995.45,8947.85,8975.48,895,158,0,895
2025-01-04 06:00:00,8974.91,9019.65,8969.44,8983.11,899,158,0,899
2025-01-04 06:15:00,8981.89,8993.96,8942.27,8959.44,896,158,0,896
2025-01-04 06:30:00,8959.79,9005.73,8951.64,8976.7,898,158,0,898
2025-01-04 06:45:00,8976.33,9058.27,8976.33,9028.18,897,159,0,897
2025-01-04 07:00:00,9029.68,9038.91,8970.54,8998.79,899,158,0,899
2025-01-04 07:15:00,8998.77,9078.58,8985.38,9069.55,897,159,0,897
