datetime,open,high,low,close,tick_volume,spread,real_volume,volume
2025-01-01 23:00:00,2625.09,2625.52,2624.01,2624.62,545,15,0,545
2025-01-01 23:15:00,2624.62,2624.94,2623.45,2623.67,529,14,0,529
2025-01-01 23:30:00,2623.67,2623.82,2621.87,2621.87,510,9,0,510
2025-01-01 23:45:00,2621.87,2624.4,2621.59,2623.69,394,6,0,394
2025-01-02 00:00:00,2623.69,2626.19,2622.67,2625.7,757,4,0,757
2025-01-02 00:15:00,2625.7,2626.46,2625.15,2626.33,663,4,0,663
2025-01-02 00:30:00,2626.34,2627.52,2625.42,2626.82,721,4,0,721
2025-01-02 00:45:00,2626.82,2627.84,2625.33,2625.37,1079,4,0,1079
2025-01-02 01:00:00,2625.37,2630.83,2623.8,2629.56,3545,4,0,3545
2025-01-02 01:15:00,2629.56,2633.01,2629.34,2632.61,2602,4,0,2602
2025-01-02 01:30:00,2632.6,2634.41,2632.43,2633.54,1711,4,0,1711
2025-01-02 01:45:00,2633.54,2633.56,2631.63,2632.97,2085,4,0,2085
2025-01-02 02:00:00,2632.97,2634.77,2632.58,2634.61,1820,4,0,1820
2025-01-02 02:15:00,2634.61,2636.55,2633.88,2635.65,973,4,0,973
2025-01-02 02:30:00,2635.65,2635.81,2632.67,2633.38,2140,4,0,2140
2025-01-02 02:45:00,2633.4,2635.32,2632.33,2634.71,1433,4,0,1433
2025-01-02 03:00:00,2634.71,2635.36,2633.08,2633.1,1420,4,0,1420
2025-01-02 03:15:00,2633.1,2634.74,2632.97,2633.32,1448,4,0,1448
2025-01-02 03:30:00,2633.31,2634.15,2632.3,2633.41,918,4,0,918
2025-01-02 03:45:00,2633.41,2633.85,2632.69,2633.66,498,4,0,498
2025-01-02 04:00:00,2633.66,2633.66,2632.09,2632.35,634,4,0,634
2025-01-02 04:15:00,2632.3,2633.18,2632.11,2632.46,664,4,0,664
2025-01-02 04:30:00,2632.46,2632.84,2632.05,2632.09,656,4,0,656
2025-01-02 04:45:00,2632.09,2634.21,2631.02,2634.03,1117,4,0,1117
2025-01-02 05:00:00,2634.03,2634.37,2633.05,2633.37,742,4,0,742
2025-01-02 05:15:00,2633.37,2635.35,2633.34,2634.96,945,4,0,945
2025-01-02 05:30:00,2634.96,2636.45,2634.62,2634.94,1668,4,0,1668
2025-01-02 05:45:00,2634.94,2635.36,2633.99,2634.05,1347,4,0,1347
2025-01-02 06:00:00,2634.05,2634.07,2631.54,2631.83,1804,4,0,1804
2025-01-02 06:15:00,2631.83,2634.46,2631.32,2634.31,1299,4,0,1299
2025-01-02 06:30:00,2634.31,2634.67,2633.43,2634.11,1631,4,0,1631
2025-01-02 06:45:00,2634.11,2635.39,2633.6,2634.17,1405,4,0,1405
2025-01-02 07:00:00,2634.17,2635.07,2633.66,2634.41,1529,4,0,1529
2025-01-02 07:15:00,2634.41,2635.96,2633.53,2634.32,1291,4,0,1291
2025-01-02 07:30:00,2634.32,2634.37,2633.01,2633.7,1135,4,0,1135
2025-01-02 07:45:00,2633.7,2636.01,2633.08,2635.97,825,4,0,825
2025-01-02 08:00:00,2635.97,2637.01,2633.97,2635.11,1880,4,0,1880
2025-01-02 08:15:00,2635.09,2635.16,2631.39,2633.33,1523,4,0,1523
2025-01-02 08:30:00,2633.33,2636.92,2631.1,2636.26,1832,4,0,1832
2025-01-02 08:45:00,2636.27,2637.81,2635.41,2636.56,1486,4,0,1486
2025-01-02 09:00:00,2636.56,2639.88,2636.51,2638.35,1919,4,0,1919
2025-01-02 09:15:00,2638.35,2639.91,2637.25,2637.31,1404,4,0,1404
2025-01-02 09:30:00,2637.31,2638.44,2636.71,2637.25,1366,4,0,1366
2025-01-02 09:45:00,2637.25,2637.93,2636.0,2636.12,1162,4,0,1162
