symbol,direction,entry_price,size,entry_time,stop_loss,take_profit,exit_price,exit_time,exit_reason,pnl,signal_time,month,day
Volatility 10 Index,buy,6406.284,1.0,2025-01-01 01:30:00,6396.150357,6427.142285999998,6396.150357,2025-01-01 04:00:00,stop_loss,-10.13364299999921,2025-01-01 01:15:00,2025-01,2025-01-01
Volatility 10 Index,buy,6404.644,1.0,2025-01-01 01:45:00,6396.150357,6427.142285999998,6396.150357,2025-01-01 04:00:00,stop_loss,-8.493642999999793,2025-01-01 01:30:00,2025-01,2025-01-01
Volatility 10 Index,buy,6404.692,1.0,2025-01-01 02:45:00,6395.898357,6421.592285999999,6395.898357,2025-01-01 04:00:00,stop_loss,-8.793642999999975,2025-01-01 02:30:00,2025-01,2025-01-01
Volatility 10 Index,buy,6409.592,1.0,2025-01-01 03:00:00,6395.898357,6421.592285999999,6395.898357,2025-01-01 04:00:00,stop_loss,-13.69364299999961,2025-01-01 02:45:00,2025-01,2025-01-01
Volatility 10 Index,sell,6396.098,1.0,2025-01-01 05:30:00,6407.110895857143,6373.571208285713,6407.110895857143,2025-01-01 07:30:00,stop_loss,-11.012895857143121,2025-01-01 05:15:00,2025-01,2025-01-01
Volatility 10 Index,sell,6396.524,1.0,2025-01-01 05:45:00,6407.110895857143,6373.571208285713,6407.110895857143,2025-01-01 07:30:00,stop_loss,-10.586895857142736,2025-01-01 05:30:00,2025-01,2025-01-01
Volatility 10 Index,sell,6405.786,1.0,2025-01-01 01:15:00,6415.184620333333,6383.730759333333,6415.184620333333,2025-01-01 13:45:00,stop_loss,-9.398620333333383,2025-01-01 01:00:00,2025-01,2025-01-01
Volatility 10 Index,sell,6403.865,1.0,2025-01-01 02:00:00,6413.881620333334,6384.101759333333,6413.881620333334,2025-01-01 13:45:00,stop_loss,-10.016620333333776,2025-01-01 01:45:00,2025-01,2025-01-01
Volatility 10 Index,sell,6402.32,1.0,2025-01-01 02:15:00,6413.881620333334,6384.101759333333,6413.881620333334,2025-01-01 13:45:00,stop_loss,-11.561620333333849,2025-01-01 02:00:00,2025-01,2025-01-01
Volatility 10 Index,sell,6402.318,1.0,2025-01-01 02:30:00,6414.445620333334,6377.834759333333,6414.445620333334,2025-01-01 13:45:00,stop_loss,-12.127620333333653,2025-01-01 02:15:00,2025-01,2025-01-01
Volatility 10 Index,buy,6400.471,1.0,2025-01-01 11:00:00,6391.452378,6419.027244000001,6419.027244000001,2025-01-01 14:00:00,take_profit,18.556244000001243,2025-01-01 10:45:00,2025-01,2025-01-01
